id,area_sqft,bedrooms,bathrooms,locations,year_built,garage,price
44,1360.0,,,,2015,1.0,32897064
45,,2.0,1.0,Lalitpur,2010,,12726016
46,1360.0,5.0,3.0,,2011,1.0,28021505
47,1360.0,2.0,3.0,,1996,2.0,10442939
48,,4.0,1.0,Kathmandu,2003,0.0,36218031
49,1360.0,,,Lalitpur,2004,2.0,30060188
50,,,,Lalitpur,1996,0.0,35470048
51,,4.0,,Kathmandu,1998,,31191689
52,,,3.0,Lalitpur,1997,0.0,12711793
53,,,,,2012,,23135871
54,,1.0,1.0,,2018,2.0,24278587
55,1360.0,,2.0,Kathmandu,2007,2.0,12319124
56,,2.0,2.0,Kathmandu,2020,,30700443
57,1360.0,4.0,,,2019,0.0,28850506
58,1360.0,,1.0,Lalitpur,2024,0.0,24021366
59,1360.0,2.0,1.0,Bhaktapur,2007,0.0,23331233
60,1360.0,,,Bhaktapur,2006,,25188743
61,1360.0,5.0,3.0,Lalitpur,2003,1.0,29296186
62,,,,,2020,1.0,30667093
63,1360.0,2.0,1.0,,2013,,26566471
64,,4.0,,Kathmandu,2024,,11727408
65,1360.0,2.0,2.0,Kathmandu,2023,,29578958
66,1360.0,,,,1992,,38254096
67,1360.0,4.0,,,2015,0.0,27832891
68,1360.0,4.0,3.0,Lalitpur,2012,0.0,32794070
69,,1.0,2.0,,2004,,21952983
70,,5.0,,,1993,0.0,17436754
71,,,,Lalitpur,2018,,27742404
72,1360.0,2.0,,Lalitpur,2011,,23137311
73,,,1.0,Bhaktapur,2014,,26751531
74,1360.0,,,Kathmandu,2002,2.0,28938304
75,1360.0,1.0,,Kathmandu,2007,,34795222
76,1360.0,,4.0,,2022,2.0,12320484
77,,4.0,4.0,,2005,,14105223
78,,,,,1991,0.0,21211596
79,1360.0,,1.0,,2024,1.0,39084871
80,,,,,2023,,38634616
81,1360.0,,,,2019,1.0,27264726
82,,5.0,,,2002,2.0,33132202
83,1360.0,1.0,3.0,,2002,,21963776
84,1360.0,,3.0,Lalitpur,2007,1.0,17609964
85,1360.0,,1.0,,2021,,32572466
86,1360.0,,,Bhaktapur,2021,0.0,14055447
87,,4.0,4.0,,2024,,26342498
88,,,4.0,Bhaktapur,2018,2.0,28451095
89,1360.0,,,Lalitpur,2018,2.0,28557968
90,,,,Lalitpur,2005,0.0,24501508
91,1360.0,3.0,3.0,Kathmandu,1999,2.0,13293331
92,1360.0,3.0,3.0,,2019,,23457684
93,,,1.0,Lalitpur,2014,1.0,30541671
94,,,4.0,Kathmandu,2009,1.0,17253817
95,,,,Lalitpur,1994,,14335518
96,,,,Bhaktapur,1990,0.0,35568906
97,1360.0,,3.0,,2019,,18589747
98,1360.0,,2.0,Kathmandu,1992,2.0,15222798
99,1360.0,4.0,,,2003,0.0,30681938
100,1360.0,1.0,3.0,,2019,,31992838
101,1360.0,4.0,,Bhaktapur,1993,2.0,21135474
102,1360.0,2.0,2.0,,2007,2.0,33656987
103,,,,,2014,0.0,24082610
104,1360.0,5.0,1.0,Kathmandu,1990,2.0,19596394
105,,,,,2004,0.0,35258425
106,,,2.0,Lalitpur,1998,,29952900
107,1360.0,,4.0,,2004,0.0,21772676
108,1360.0,3.0,2.0,,2013,0.0,27406301
109,1360.0,1.0,2.0,,1993,0.0,20348533
110,1360.0,,4.0,Lalitpur,2001,,38175711
111,,5.0,4.0,,1995,,36683911
112,1360.0,,4.0,Bhaktapur,2013,1.0,20401929
113,,1.0,,Kathmandu,2000,2.0,32849061
114,1360.0,5.0,3.0,Kathmandu,2002,2.0,29295854
115,1360.0,,1.0,Lalitpur,2023,,27380319
116,1360.0,3.0,,Bhaktapur,2014,1.0,39399407
117,1360.0,1.0,,,1996,1.0,39732059
118,,2.0,3.0,Bhaktapur,1993,,11989968
119,,,,Lalitpur,1997,1.0,37411678
120,,,,,2009,,15303943
121,,,2.0,,2018,,25453951
122,,3.0,1.0,,1999,0.0,15497191
123,,1.0,3.0,,2023,,39805505
124,1360.0,4.0,,,2015,1.0,24121422
125,1360.0,5.0,,Bhaktapur,1992,1.0,21004849
126,,4.0,1.0,Kathmandu,1995,,21232194
127,,5.0,4.0,,1994,,28034224
128,1360.0,5.0,,Kathmandu,1994,,33250723
129,1360.0,,2.0,,2012,0.0,34214909
130,,,,Kathmandu,1998,,22458819
131,1360.0,,,Lalitpur,2024,,15137997
132,,,2.0,,2009,0.0,39009512
133,1360.0,,4.0,Kathmandu,2024,2.0,24084264
134,1360.0,3.0,1.0,,2007,,38782808
135,,4.0,4.0,,2006,,39483385
136,,2.0,,,2013,,17270518
137,1360.0,,1.0,,1992,1.0,22406973
138,1360.0,,3.0,Bhaktapur,2021,,32289150
139,1360.0,1.0,1.0,Bhaktapur,2024,1.0,18173321
140,,5.0,4.0,Bhaktapur,2002,,17899284
141,,4.0,2.0,,2014,2.0,11003171
142,1360.0,,,Lalitpur,1998,,26147083
143,1360.0,,,Lalitpur,1993,0.0,33992154
144,1360.0,,,Kathmandu,2003,,24636519
145,,4.0,1.0,Kathmandu,2023,,29677953
146,,,,,2000,,11370485
147,1360.0,2.0,3.0,,1992,2.0,17045900
148,1360.0,4.0,,Lalitpur,2017,,28458292
149,,1.0,,Lalitpur,2018,2.0,36777759
150,1360.0,,1.0,Kathmandu,1998,,35278814
151,,,2.0,,1992,,32089615
152,1360.0,1.0,,,2014,,10981883
153,,,1.0,Lalitpur,2023,,11668321
154,1360.0,1.0,1.0,,2001,0.0,23296138
155,,4.0,,Kathmandu,1998,0.0,30070921
156,1360.0,5.0,,Lalitpur,2004,1.0,20007310
157,,1.0,,,2014,2.0,16154512
158,1360.0,,,,1994,,36665895
159,,,,,2000,1.0,30536721
160,,,2.0,,2023,0.0,35192630
161,1360.0,,2.0,,2013,0.0,15418952
162,1360.0,1.0,3.0,,2004,,31386904
163,1360.0,3.0,,Bhaktapur,1997,2.0,14264423
164,1360.0,2.0,3.0,,1994,0.0,20262330
165,,4.0,1.0,,2015,,23816653
166,,,3.0,Bhaktapur,2007,,18181883
167,1360.0,1.0,4.0,,1995,,35083897
168,1360.0,,2.0,Bhaktapur,2002,,25309784
169,1360.0,1.0,,,2017,1.0,33948053
170,1360.0,1.0,4.0,Lalitpur,1994,1.0,11519603
171,,2.0,,Bhaktapur,2002,0.0,37134365
172,,,,,2006,,37670483
173,,4.0,,,2021,1.0,28527956
174,,,4.0,,2018,0.0,27640619
175,,3.0,,,1992,1.0,19268511
176,1360.0,1.0,1.0,Bhaktapur,2023,,26580018
177,1360.0,,4.0,,2016,2.0,27662637
178,1360.0,,2.0,,2002,,31055600
179,1360.0,1.0,4.0,Bhaktapur,2022,,32272887
180,1360.0,,,,1995,,10978836
181,,,,Kathmandu,2013,0.0,30000738
182,,,4.0,Bhaktapur,2008,,24804511
183,,2.0,,Lalitpur,2005,,28994397
184,,4.0,,Lalitpur,2017,2.0,18568438
185,,,2.0,,2022,0.0,28333734
186,,,4.0,,2002,,21872752
187,,,4.0,Bhaktapur,2014,0.0,12659083
188,,3.0,1.0,,2025,1.0,30890856
189,1360.0,2.0,,Bhaktapur,2016,1.0,31277614
190,1360.0,,,Lalitpur,1996,,19625105
191,1360.0,4.0,,Bhaktapur,1994,,23994132
192,1360.0,2.0,,Kathmandu,2020,,31654924
193,,4.0,,Lalitpur,2012,0.0,19935869
194,,3.0,,,1999,,17880317
195,,,,,2021,2.0,36032007
196,1360.0,1.0,1.0,,2019,,35788717
197,1360.0,,,Kathmandu,2020,0.0,18281447
198,1360.0,,,,2007,,23424877
199,,,,,2025,1.0,22927622
200,,,,,1991,,13895958
201,1360.0,1.0,4.0,,2003,,39992671
202,,1.0,4.0,,2002,1.0,33853258
203,,4.0,1.0,Kathmandu,2018,0.0,35616981
204,,3.0,,Kathmandu,2001,,23689493
205,,,2.0,,1991,0.0,11265898
206,,,3.0,,2021,2.0,25918424
207,1360.0,,1.0,Lalitpur,2002,,12120539
208,,4.0,,Kathmandu,2016,,27657628
209,,,2.0,Kathmandu,2006,0.0,15947148
210,1360.0,,,Lalitpur,2020,0.0,13231185
211,1360.0,,,Kathmandu,2023,,37407105
212,1360.0,,1.0,Bhaktapur,2013,,38899868
213,1360.0,,3.0,,2024,,34096980
214,1360.0,3.0,1.0,Kathmandu,1995,,35483699
215,1360.0,,,Bhaktapur,2008,0.0,32700314
216,1360.0,4.0,,Bhaktapur,2019,1.0,28005553
217,,,,,1996,,21054686
218,1360.0,,,,1999,2.0,27262030
219,1360.0,2.0,,,2021,,35137138
220,1360.0,,,,2023,,19614742
221,,,,,2017,1.0,30467799
222,,4.0,,Kathmandu,2004,2.0,37685931
223,1360.0,,,Bhaktapur,2019,1.0,36796492
224,,1.0,,,2018,0.0,23635242
225,1360.0,2.0,1.0,,2011,,11599908
226,1360.0,,,Bhaktapur,1993,1.0,28941628
227,1360.0,,,,2009,,15309792
228,,4.0,,,2021,2.0,12353847
229,,,,,2025,,21018754
230,,,3.0,Kathmandu,1993,,12892478
231,,,,Bhaktapur,2016,,28761333
232,1360.0,4.0,,,2006,,20831890
233,,,1.0,,2001,2.0,23451286
234,,2.0,2.0,Lalitpur,2011,,15949852
235,,,3.0,Bhaktapur,2006,0.0,10029725
236,,4.0,,Kathmandu,1999,,36351398
237,,,2.0,,1990,0.0,39464683
238,1360.0,,3.0,Bhaktapur,2011,,24941550
239,,3.0,3.0,Kathmandu,2015,,19184536
240,,,,,2007,2.0,24212223
241,,,,,2003,2.0,27665252
242,,3.0,1.0,Lalitpur,2018,1.0,26413806
243,1360.0,,,,2001,,29748999
244,,,1.0,,2025,,12662761
245,,4.0,3.0,,2024,0.0,24408889
246,1360.0,1.0,3.0,Kathmandu,2001,,16524559
247,1360.0,,1.0,Lalitpur,1996,0.0,29290240
248,1360.0,,1.0,,2018,1.0,37705858
249,,1.0,,,2000,,29175299
250,,4.0,,,2022,,33313511
251,1360.0,,,Lalitpur,1995,,37719138
252,1360.0,3.0,4.0,,2004,2.0,23128927
253,,,,Bhaktapur,2021,,30686655
254,1360.0,,,,2000,,23726569
255,,,,,2012,2.0,15627745
256,,,1.0,Bhaktapur,2015,1.0,13911146
257,,2.0,,,2023,1.0,36806744
258,,,3.0,,2023,,11707017
259,1360.0,2.0,,,2018,2.0,10689556
260,1360.0,3.0,3.0,Lalitpur,1993,0.0,37955071
261,,,1.0,,2006,,21245869
262,1360.0,1.0,1.0,,2024,,38391654
263,1360.0,,,Kathmandu,2002,,34065754
264,,1.0,2.0,Lalitpur,2004,,12253722
265,1360.0,,,,2018,2.0,11649729
266,,,3.0,Kathmandu,2018,1.0,26415656
267,1360.0,5.0,,Lalitpur,2000,1.0,11116271
268,1360.0,,,Kathmandu,2021,,20916876
269,1360.0,,2.0,Lalitpur,1991,,13099555
270,1360.0,,,,2003,,32461013
271,1360.0,,2.0,Lalitpur,2009,,28458857
272,1360.0,,,,2011,0.0,23650521
273,1360.0,3.0,3.0,Lalitpur,2000,0.0,27293625
274,,3.0,,,2016,2.0,27443381
275,1360.0,5.0,1.0,,1992,,29565579
276,,,,Lalitpur,2006,0.0,25231184
277,1360.0,3.0,2.0,Kathmandu,2017,2.0,23825997
278,,3.0,1.0,,2018,1.0,31253537
279,1360.0,2.0,,Lalitpur,2010,,13710388
280,,5.0,,,2005,2.0,13235192
281,1360.0,,,,2009,,37933715
282,1360.0,4.0,,,1995,0.0,38428874
283,1360.0,,4.0,,2008,,36906511
284,1360.0,5.0,3.0,,1994,,11935090
285,,4.0,4.0,,1992,2.0,35911006
286,1360.0,5.0,,,1990,,13937270
287,,3.0,,Kathmandu,2004,,16739013
288,,,2.0,Kathmandu,2023,1.0,17089975
289,1360.0,,2.0,,2024,,18805586
290,1360.0,1.0,2.0,Bhaktapur,2014,,27810532
291,,,2.0,Bhaktapur,2013,,14819075
292,,,3.0,Lalitpur,2001,,21009646
293,,,,Bhaktapur,2007,2.0,24165372
294,1360.0,5.0,,,2004,1.0,21768963
295,,,4.0,Bhaktapur,2005,,24263315
296,1360.0,,1.0,Kathmandu,2016,1.0,39902729
297,1360.0,4.0,,,1997,2.0,24531095
298,,1.0,,Lalitpur,2014,,36936309
299,,,1.0,Bhaktapur,2006,1.0,31519513
300,,5.0,,,2018,,13868452
301,,,2.0,Lalitpur,1997,2.0,39171429
302,1360.0,,3.0,,2004,1.0,37366868
303,,,1.0,,2016,2.0,18074037
304,,4.0,1.0,Kathmandu,1996,1.0,11312743
305,1360.0,1.0,4.0,,1992,,37906918
306,,4.0,,,2018,,23822356
307,1360.0,,,,2013,,34197321
308,1360.0,5.0,,,1992,0.0,20315813
309,,1.0,3.0,Kathmandu,2009,0.0,22123053
310,,3.0,1.0,,2004,,26881411
311,,2.0,1.0,,2014,2.0,17008443
312,,,2.0,,2019,0.0,32053944
313,,2.0,,Bhaktapur,2003,,30878252
314,,,3.0,,1996,,26705808
315,,3.0,3.0,Kathmandu,2006,,19727094
316,1360.0,,,,2009,,28942467
317,1360.0,2.0,,,2025,,19866460
318,,3.0,4.0,Bhaktapur,1998,,17303693
319,1360.0,,4.0,,2011,,29992066
320,1360.0,,,,1991,2.0,20108631
321,,2.0,2.0,Lalitpur,2013,1.0,21058916
322,,,,Kathmandu,1997,0.0,17983439
323,,,,,2000,,38727993
324,1360.0,1.0,2.0,,2002,,39193270
325,1360.0,3.0,2.0,,2006,,35652099
326,,,3.0,Kathmandu,1997,,35464695
327,1360.0,,,Kathmandu,2010,0.0,18268541
328,,,,Kathmandu,2007,,19546263
329,,,,,2019,1.0,29726497
330,1360.0,2.0,2.0,,2007,,34133277
331,,,4.0,Bhaktapur,2020,1.0,11294929
332,,,,,2021,1.0,12504594
333,1360.0,,2.0,,2000,1.0,28020510
334,,,,,2014,,30344891
335,1360.0,,4.0,,2022,,17711634
336,1360.0,,3.0,,1997,0.0,36062640
337,,,,,2000,,25797566
338,1360.0,4.0,2.0,Lalitpur,2011,,38972909
339,,,,Kathmandu,2013,0.0,12414802
340,,,,Kathmandu,2006,,26593301
341,1360.0,3.0,3.0,Bhaktapur,2001,0.0,10443031
342,1360.0,4.0,,,2021,2.0,36256492
343,1360.0,2.0,,Lalitpur,2004,,26053323
344,1360.0,2.0,1.0,,2005,,25663645
345,1360.0,,4.0,Lalitpur,2011,,33221561
346,1360.0,,,,2017,,29567589
347,,2.0,,Bhaktapur,2009,0.0,38849268
348,,,1.0,Bhaktapur,2022,,30693859
349,,,,,1999,2.0,17061183
350,,,1.0,Lalitpur,2021,,30064274
351,1360.0,1.0,,Lalitpur,2022,0.0,21592111
352,,,4.0,,1991,0.0,36951340
353,,,4.0,,2022,,39324003
354,1360.0,3.0,1.0,,2022,2.0,32287709
355,,,,Kathmandu,2002,1.0,10290998
356,,,2.0,Bhaktapur,2019,2.0,14855920
357,,1.0,,,2022,1.0,28605238
358,,,2.0,,2002,1.0,16367712
359,,4.0,,,2015,2.0,21437201
360,,,,,2011,1.0,28187070
361,,4.0,,Bhaktapur,1991,2.0,17997043
362,1360.0,5.0,,Lalitpur,2015,1.0,10181360
363,1360.0,4.0,,Kathmandu,2004,,29221242
364,,,,,2023,,29292635
365,1360.0,4.0,3.0,Kathmandu,2000,,15532410
366,1360.0,,3.0,Kathmandu,1992,,14138286
367,,,1.0,,1995,,36457034
368,1360.0,5.0,,,1998,,24713851
369,1360.0,2.0,3.0,Kathmandu,1995,,21031669
370,,,4.0,Bhaktapur,1998,1.0,18333100
371,1360.0,2.0,,,2020,,16893728
372,1360.0,3.0,,,2021,,30361413
373,1360.0,1.0,,Lalitpur,2001,0.0,24451971
374,,3.0,4.0,Kathmandu,1997,2.0,27089171
375,1360.0,4.0,4.0,Lalitpur,1997,,28904815
376,1360.0,2.0,4.0,Kathmandu,2017,1.0,37391022
377,,,4.0,,2009,,14933594
378,,,,Bhaktapur,1996,1.0,36730894
379,1360.0,2.0,4.0,Lalitpur,2000,1.0,25697605
380,,5.0,,,2009,,38997166
381,1360.0,1.0,,Lalitpur,2005,2.0,26599117
382,,,,Bhaktapur,1993,1.0,31612667
383,1360.0,5.0,,Lalitpur,1995,,14382794
384,1360.0,,,,2011,2.0,34100710
385,,2.0,1.0,,2015,0.0,16699144
386,,2.0,,Kathmandu,1992,,31475929
387,1360.0,1.0,2.0,,2003,,17867791
388,,2.0,,Lalitpur,2000,2.0,30567544
389,,1.0,,Bhaktapur,2007,,23099507
390,1360.0,,,Lalitpur,2001,2.0,22285500
391,1360.0,,,Kathmandu,2012,,23246601
392,1360.0,1.0,,,2001,,37428913
393,,5.0,1.0,,2002,1.0,15289730
394,1360.0,5.0,2.0,,2014,1.0,21850700
395,,5.0,4.0,Lalitpur,2008,0.0,31214826
396,1360.0,,2.0,,2025,,13239536
397,,4.0,,,1997,0.0,25341821
398,,,2.0,,2018,,12326133
399,1360.0,3.0,1.0,Kathmandu,2021,1.0,20128069
400,,5.0,,Kathmandu,2007,,20538832
401,,1.0,,,1995,,17948140
402,1360.0,5.0,,Kathmandu,2007,,15720626
403,1360.0,,1.0,,2008,0.0,23654772
404,,5.0,,Lalitpur,2011,,16221714
405,,,2.0,Kathmandu,2021,1.0,16374825
406,,4.0,,,1992,1.0,15005858
407,,,,Bhaktapur,2017,,39168537
408,1360.0,4.0,,Kathmandu,1999,,33805938
409,1360.0,,2.0,Kathmandu,2024,,18221252
410,1360.0,,2.0,,2018,,35752924
411,1360.0,,1.0,,2004,1.0,13415871
412,,4.0,3.0,Lalitpur,2022,0.0,37547556
413,,1.0,1.0,,1996,0.0,28655187
414,,5.0,2.0,Kathmandu,2001,,34774704
415,,2.0,,Lalitpur,2019,,33591828
416,1360.0,,3.0,Bhaktapur,2010,0.0,31740617
417,,5.0,,Kathmandu,2020,,37515140
418,,4.0,2.0,Bhaktapur,2013,,22429667
419,,2.0,3.0,,2009,2.0,12866757
420,,4.0,4.0,,1993,0.0,36502745
421,,2.0,,Bhaktapur,2017,,20636547
422,,,,,2009,2.0,22743293
423,1360.0,,,,2013,,15913318
424,1360.0,,4.0,,2021,,33518502
425,1360.0,1.0,,Kathmandu,2025,,28355185
426,1360.0,5.0,,,2023,,23487010
427,1360.0,5.0,,Kathmandu,2025,,39100823
428,,,,,1991,0.0,22651832
429,1360.0,2.0,1.0,,2004,2.0,21135784
430,,1.0,4.0,Bhaktapur,2023,,21416757
431,,,,,2025,1.0,37804333
432,1360.0,3.0,3.0,,1995,2.0,13651387
433,,4.0,1.0,Lalitpur,2001,,37270507
434,1360.0,4.0,,,1992,2.0,20916027
435,1360.0,,3.0,Lalitpur,2007,,11711672
436,1360.0,3.0,,,2010,,15905950
437,,,,,2004,2.0,13212883
438,1360.0,,,Bhaktapur,2022,1.0,13028631
439,,,,,2024,1.0,24218200
440,,5.0,2.0,,2015,,24987811
441,,,2.0,Kathmandu,1997,1.0,34009428
442,1360.0,,,Kathmandu,2025,,37736989
443,1360.0,5.0,3.0,,2019,,16423959
444,1360.0,4.0,,,2012,1.0,20167147
445,1360.0,3.0,,Bhaktapur,2003,,33761513
446,,1.0,2.0,Kathmandu,2003,2.0,14024733
447,,1.0,1.0,Kathmandu,1991,,31636437
448,1360.0,2.0,,,1994,,26721115
449,,3.0,2.0,Bhaktapur,2003,,19802630
450,1360.0,4.0,,,2014,,30578466
451,,,,Kathmandu,2009,0.0,19340854
452,,,3.0,Bhaktapur,1991,,10019675
453,1360.0,4.0,,Lalitpur,1995,0.0,35239821
454,1360.0,,,Bhaktapur,2006,0.0,36133385
455,,,,Lalitpur,2014,1.0,37164495
456,1360.0,3.0,3.0,Kathmandu,2017,1.0,27264015
457,1360.0,2.0,2.0,Lalitpur,1991,,16810805
458,,,3.0,Kathmandu,2024,,29015273
459,,,3.0,Bhaktapur,1994,,14464344
460,,,4.0,Bhaktapur,1990,2.0,24057676
461,,5.0,,,2001,,20797637
462,,2.0,2.0,Lalitpur,2025,,22310059
463,,2.0,2.0,Kathmandu,2012,,10566088
464,1360.0,,2.0,,2020,,23727532
465,,,,Bhaktapur,2000,1.0,16558947
466,1360.0,,,Kathmandu,1999,2.0,20151607
467,,1.0,,,1992,1.0,10658003
468,,4.0,,,2003,2.0,20788689
469,1360.0,2.0,1.0,,2005,,10805113
470,,5.0,,,1999,2.0,37628984
471,,2.0,1.0,,2018,1.0,19322004
472,1360.0,,,Kathmandu,1999,0.0,15028035
473,1360.0,3.0,2.0,,2001,,21551409
474,,,,Bhaktapur,2019,2.0,30811680
475,,,,Lalitpur,1990,2.0,36769370
476,,1.0,,Bhaktapur,1994,1.0,25433222
477,1360.0,,3.0,,2009,,12092101
478,,,2.0,,1997,,15995134
479,,,2.0,,2001,0.0,20347918
480,1360.0,,,Bhaktapur,1990,,36621905
481,,2.0,,,2009,,35281183
482,,,1.0,,2017,,16208714
483,1360.0,1.0,1.0,Bhaktapur,2001,1.0,20552467
484,1360.0,,,,2017,2.0,22834263
485,,1.0,,,2004,,33539342
486,1360.0,,,,1995,,22124052
487,1360.0,,4.0,Kathmandu,2009,,33119273
488,1360.0,2.0,,Kathmandu,2003,,30318699
489,1360.0,,3.0,,1991,1.0,37758455
490,,5.0,,,1998,,20072959
491,,,,Kathmandu,2009,2.0,28289976
492,,1.0,2.0,Kathmandu,2015,0.0,19851044
493,,,3.0,,2018,,30334905
494,1360.0,,,Bhaktapur,1990,,22834836
495,1360.0,3.0,,,2024,,38046417
496,,,2.0,Lalitpur,1995,,28640452
497,,,,,1994,0.0,34640642
498,1360.0,,,Lalitpur,2022,0.0,37512406
499,,,4.0,Lalitpur,2003,0.0,21962073
500,1360.0,,4.0,Bhaktapur,2001,0.0,25851428
